新闻id,内容,链接
1,"比特币价格下跌，跌破 7.2 万美元关口今天上午 9:30 东部时间，比特币交易价格为 $72,483.20。据 NS3 报道，这一价格较昨日早晨下跌了 $1,233.91。",https://www.binance.com/zh-CN/square/post/302923205807090
2,"ShapeShift创始人Erik Voorhees继续增持ETH，接近成本线据链上分析师Ai姨监测，ShapeShift创始人Erik Voorhees在下跌趋势下以均价2207美元再次买入2018.28枚ETH。 据Odaily星球日报报道，截止目前他已累计囤积35,562.28枚ETH，平均建仓成本为2,126.83美元，快要跌到成本线。",https://www.binance.com/zh-CN/square/post/302922340504433
3,"X部分用户报告连接问题，服务无明显大规模故障据Downdetector平台监测数据显示，X（原Twitter）整体服务“无明显大规模故障”，但部分用户在过去24小时内持续报告App无法连接服务器、登录被标记为可疑、卡在加载界面等问题。

据PANews报道，站点统计中，主要报障集中在App和网站访问，以及服务器连接异常。评论区用户称，部分账号因异常提示被迫重置密码或删除重建，新账号登录亦出现“请求被X取消”等错误信息。",https://www.binance.com/zh-CN/square/post/302922256000866
4,地缘政治 | 美国将俄罗斯金融人士从制裁名单中移除据金十数据报道，美国已将俄罗斯金融人士叶夫根尼娅·谢尔盖耶夫娜·秋里科娃（Evgeniya Sergeyevna Tyurikova）从制裁名单中移除。这一举措可能对美俄关系产生影响，值得关注。,https://www.binance.com/zh-CN/square/post/302922130531746
5,美国解除对阿联酋FUTURIS FZE公司的涉俄制裁据金十数据报道，美国政府已解除对阿联酋公司FUTURIS FZE的涉俄制裁。这一决定标志着美国在对俄制裁政策上的调整，可能对国际贸易和外交关系产生影响。,https://www.binance.com/zh-CN/square/post/302922091698322
6,X 平台 3 月 18 日出现宕机情况3 月 18 日，X 平台出现宕机情况。据 BlockBeats 报道，网络状况监测网站 DownDetector 显示该平台出现问题。,https://www.binance.com/zh-CN/square/post/302919798724961
7,股票市场 | 美国股市基准或将吸纳SpaceX、OpenAI和Anthropic美国股市基准的传统路径是公开上市、证明自己、等待时机。Bloomberg 在 X（原 Twitter）发文表示，现在控制这些基准的三家公司正在考虑是否修改规则，以吸纳SpaceX、OpenAI和Anthropic的万亿美元IPO。,https://www.binance.com/zh-CN/square/post/302918314354178
8,美国航空燃油供应量降至新低据金十数据报道，EIA报告显示，美国航空燃油产品供应量降至2024年2月以来的最低水平。这一数据引发了市场对航空燃油供应紧张的担忧，可能对航空业产生影响。,https://www.binance.com/zh-CN/square/post/302917990023490
9,地缘政治 | 美国更新涉俄制裁名单据金十数据报道，美国政府更新了针对俄罗斯的制裁名单，进一步扩大了制裁范围。此次制裁涉及多个俄罗斯实体和个人，旨在加强对俄罗斯的经济压力。美国表示，这些措施是为了回应俄罗斯在国际事务中的行为。,https://www.binance.com/zh-CN/square/post/302921864088513
10,欧洲央行今年料将加息两次，伊朗能源资产遭袭引发通胀担忧交易员预计欧洲央行今年将进行两次加息。Bloomberg 在 X（原 Twitter）发文表示，伊朗能源资产遭袭引发了市场对通胀飙升的担忧。,https://www.binance.com/zh-CN/square/post/302917692191490
11,美国官员：特朗普的主要目标是摧毁伊朗导弹和核计划据金十数据引述AXIOS网站报道，美国官员表示，特朗普的主要目标是摧毁伊朗的导弹和核计划、海军以及其代理人的资金来源。,https://www.binance.com/zh-CN/square/post/302917650642657
12,美国官员：特朗普视伊朗政权更迭为额外胜利据金十数据引述AXIOS网站报道，美国官员表示，特朗普将伊朗政权更迭视为“额外的胜利”，但他计划在实现主要目标后结束战争。,https://www.binance.com/zh-CN/square/post/302916972408674
13,"SBI VC Trade 推出 USDC 借贷服务，用户面临对手方风险SBI VC Trade 将于周四在日本推出 USDC 借贷服务，每位零售用户的借贷上限为 5,000 USDC。据 NS3 报道，该产品为固定期限贷款而非存款，用户需承担对手方风险。此次推出是 SBI VC Trade 在 2025 年 3 月 26 日开始在日本全面开展 USDC 服务后的进一步扩展。",https://www.binance.com/zh-CN/square/post/302916920954130
14,英国两年期国债收益率上涨，创2025年4月以来新高英国两年期国债收益率当日上涨逾9个基点，报4.146%。据金十数据报道，该收益率有望收于2025年4月以来的最高水平。,https://www.binance.com/zh-CN/square/post/302916312661202
15,参议员 Lummis：力争年内通过 Clarity Act参议员 Cynthia Lummis 重申了她在今年年底前通过 Clarity Act 的目标。据 NS3 报道，Lummis 表示，立法者已就稳定币收益达成解决方案，并处于 DeFi 监管谈判的最后阶段。,https://www.binance.com/zh-CN/square/post/302921583305057
16,中国广告协会启动国内GEO领域标准化工作中国广告协会表示，已开始国内GEO领域的标准化工作，原因是服务能力不均、行业标准缺失以及恶意投毒风险。据NS3报道，该协会称相关标准的项目设立和草拟工作在今年三月初联合启动后现已全面展开。,https://www.binance.com/zh-CN/square/post/302920026345186
17,Polymarket 收购 Brahma 扩展加密和 DeFi 基础设施Polymarket 宣布收购初创公司 Brahma，以扩展其加密货币和 DeFi 基础设施。据 NS3 报道，该公司的估值已达到 200 亿美元。财务条款未披露。Polymarket 表示，此次收购将改善用户体验并加强其以加密为重点的基础。,https://www.binance.com/zh-CN/square/post/302919983131746
18,"西班牙马德里发生加密货币绑架案，嫌疑人意图窃取私钥据 ChainCatcher 报道，西班牙马德里日前发生一起以窃取 BTC 及加密货币私钥为目的的绑架案。一名 33 岁加拿大籍加密货币企业主遭多名男子强行押入一辆车牌被篡改的租用厢式车。目击者随即报警，西班牙国家警察在阿托查车站附近将车辆拦截，成功解救受害者，两名塞尔维亚籍嫌疑人当场被捕，另有一名嫌疑人在逃。

据警方调查，此次绑架系有预谋行动，受害者此前从巴塞罗那赴马德里洽谈金融业务，疑遭嫌疑人提前跟踪盯梢。嫌疑人意图通过人身胁迫手段，强迫受害者交出加密货币钱包的助记词与私钥，此类手法在安全领域被称为“物理胁迫攻击”。警方在车内缴获塑料扎带及药片等作案工具。此外，嫌疑人还试图抢夺受害者一枚价值 10 万欧元的名表。受害者未受重伤，案件仍在调查中。

此案是 2026 年欧洲针对加密货币持有者的系列人身攻击事件之一，其中法国今年已记录 11 起相关案件。",https://www.binance.com/zh-CN/square/post/302919929785585
19,美国国家情报总监：伊朗威胁利用霍尔木兹海峡施压美国国家情报总监加巴德表示，伊朗一直威胁要利用霍尔木兹海峡施加压力。这一战略位置对于全球石油运输至关重要，任何封锁或干扰都可能对国际市场产生重大影响。据金十数据报道，加巴德的言论引发了对该地区紧张局势升级的担忧。,https://www.binance.com/zh-CN/square/post/302919889583842
20,加拿大央行行长：能源价格或致通胀上升，加息可能性存在加拿大央行行长麦克勒姆表示，如果观察到能源价格可能导致通胀持续上升的迹象，加拿大央行可能会采取加息措施。,https://www.binance.com/zh-CN/square/post/302919436170497
21,"BTC 跌破 71,000 USDT，24 小时跌幅5.01%据币安行情数据显示，BTC 跌破 71,000 USDT，现报价 70,957.320313 USDT，24 小时跌幅5.01%。",https://www.binance.com/zh-CN/square/post/302919384271329
22,加拿大人口下降，非永久居民数量减少加拿大人口在第四季度再次下降。Bloomberg 在 X（原 Twitter）发文表示，非永久居民数量的持续减少是导致人口下降的主要原因。,https://www.binance.com/zh-CN/square/post/302917729048721
23,BNB 跌破 650 USDT，24 小时跌幅2.99%据币安行情数据显示，BNB 跌破 650 USDT，现报价 649.599976 USDT，24 小时跌幅2.99%。,https://www.binance.com/zh-CN/square/post/302917665277250
24,Cumberland DRW 转出 47.09 枚 BTC 至匿名地址据 ChainCatcher 报道，Arkham 数据显示，在 22:33，Cumberland DRW 转出 47.09 枚 BTC 至一匿名地址（1JaLcW...开头）。,https://www.binance.com/zh-CN/square/post/302917478768210
25,"ETH 跌破 2,200 USDT，24 小时跌幅6.02%据币安行情数据显示，ETH 跌破 2,200 USDT，现报价 2,198.800049 USDT，24 小时跌幅6.02%。",https://www.binance.com/zh-CN/square/post/302917418190930
26,地缘政治 | 吉利汽车计划进入加拿大市场吉利汽车控股有限公司正在为进入加拿大市场铺路。Bloomberg 在 X（原 Twitter）发文表示，加拿大今年早些时候达成协议，允许来自全球最大汽车市场的电动汽车进入该国。,https://www.binance.com/zh-CN/square/post/302916385612129
27,美国特使约翰逊：美墨加协定审议为构建更强大供应链提供机遇据金十数据报道，美国特使约翰逊表示，美墨加协定的审议为构建更强大的供应链提供了重要机遇。约翰逊强调，该协定的审议过程将有助于加强北美地区的经济合作与供应链韧性。,https://www.binance.com/zh-CN/square/post/302916345415825
28,美国原油进口量激增，沙特和墨西哥成主要来源据金十数据报道，EIA报告显示，美国上周从沙特进口原油量达到2020年7月以来的最高水平。同时，美国从墨西哥进口的原油量也升至2024年11月以来的最高水平。这表明美国在原油进口方面对这两个国家的依赖程度有所增加。,https://www.binance.com/zh-CN/square/post/302916328772289
29,比特币矿企Ionic Digital 2月挖矿产出32.95枚BTCOdaily星球日报讯 比特币矿企Ionic Digital在X平台发文披露2月挖矿产出32.95枚BTC，日均产出1.18枚BTC。据Odaily星球日报报道，截至二月末持仓增至2787.4枚BTC。,https://www.binance.com/zh-CN/square/post/302914959852642
30,Polymarket 收购 Brahma，优化用户体验据 Fortune 报道，预测市场平台 Polymarket 宣布收购专注于加密货币及去中心化金融（DeFi）基础设施的初创公司 Brahma，具体交易金额未予披露。据 Foresight News 报道，此次收购旨在优化用户体验，包括简化钱包创建、资产充值与转换、以及结果代币兑换等流程。Brahma 由 Alessandro Tenconi、Akanshu Jain 及 Bapi Reddy Karri 于 2021 年联合创立，主要为企业和个人提供 DeFi 基础设施服务，累计处理交易额逾 10 亿美元。加入 Polymarket 后，Brahma 将终止与其他合作方的现有项目。,https://www.binance.com/zh-CN/square/post/302914866133698
31,瑞典外交大臣：伊朗处决瑞典公民据金十数据引述半岛电视台报道，瑞典外交大臣表示，伊朗已处决了一名瑞典公民。这一事件引发了国际社会的广泛关注和谴责。瑞典政府正在寻求进一步的信息，并呼吁伊朗尊重人权和国际法。,https://www.binance.com/zh-CN/square/post/302914810056833
32,加拿大央行行长：伊朗战争对经济影响取决于持续时间据金十数据报道，加拿大央行行长麦克勒姆表示，伊朗战争对加拿大经济的影响将取决于战争的持续时间。麦克勒姆强调，战争的长期持续可能会对全球经济产生更广泛的影响，进而影响加拿大的经济增长和通货膨胀。,https://www.binance.com/zh-CN/square/post/302914317230433
33,美国国家情报总监：2035年可打击美国的导弹数量将增至16000多枚据金十数据报道，美国国家情报总监加巴德表示，美国情报界评估，到2035年，能够打击美国的导弹数量将从目前评估的3000枚增加到16000多枚。,https://www.binance.com/zh-CN/square/post/302914296390978
34,伊朗革命卫队：将全力打击与美国有关的石油设施据金十数据报道，伊朗革命卫队海军司令表示，与美国有关的石油设施现在与美国军事基地地位相当，将遭到全力打击。他警告工人远离这些设施，以免受到攻击影响。,https://www.binance.com/zh-CN/square/post/302914189347570
35,"交易员短线操作失利，损失超 22.7 万美元一名交易员在 HYPE 上开设多头头寸，仅 15 分钟后平仓，损失 44,000 美元。据 NS3 报道，该交易员此前在 ASTER 上的多头操作也遭遇失败，在 Aster 昨日上线主网后损失约 183,000 美元。",https://www.binance.com/zh-CN/square/post/302913907364337
36,Stripe与Paradigm孵化的支付公链Tempo主网上线由知名风投Paradigm与支付巨头Stripe共同孵化的支付基础设施Tempo正式启动主网。据动区动趋发布的文章，Tempo还同步推出了“AI机器支付协议”。,https://www.binance.com/zh-CN/square/post/302910885359969
37,鲸鱼地址重启活动，做空原油一个鲸鱼地址在一年不活跃后，向Hyperliquid存入501万USDC。据NS3报道，该地址在过去两小时内开设了2倍杠杆的原油空头头寸。,https://www.binance.com/zh-CN/square/post/302913848021617
38,贵金属 | Garrett Jin：油价结构性差距显现Garrett Jin 指出，Brent 原油约为 106 美元，WTI 原油约为 95 美元，这些价格给油价带来了误导性印象。据 NS3 报道，Jin 表示，迪拜和阿曼的油价几乎达到 155 美元，显示出大西洋盆地基准与亚洲市场之间的结构性差距。,https://www.binance.com/zh-CN/square/post/302913814914993
39,股票市场 | 英国富时100指数日内跌幅达1.00%据金十数据报道，英国富时100指数在交易日内下跌1.00%。这一跌幅引发市场关注，投资者密切关注后续走势及其对全球市场的潜在影响。,https://www.binance.com/zh-CN/square/post/302913184914913
40,贵金属 | 万国黄金2025年溢利预增135.5%万国黄金(03939.HK)预计2025年本公司拥有人应占溢利将增加135.5%，达到约人民币13.55亿元。据金十数据报道，这一增长预期显示出公司在未来几年内的盈利能力将显著提升。,https://www.binance.com/zh-CN/square/post/302913010328434
41,美国中央司令部：美军已打击逾7800个伊朗目标据金十数据报道，美国中央司令部表示，美军已对超过7800个伊朗目标进行了打击。这些行动旨在应对伊朗在中东地区的军事活动。,https://www.binance.com/zh-CN/square/post/302912951741698
42,交易员完全计入欧洲央行2026年加息预期据金十数据报道，交易员已完全计入欧洲央行在2026年两次各加息25个基点的预期。这一预期反映了市场对未来货币政策走向的判断，可能对欧元区经济产生重要影响。,https://www.binance.com/zh-CN/square/post/302912928702961
43,美国EIA原油产量需求数据上升据金十数据报道，美国至3月13日当周EIA原油产量引伸需求数据为1998.3万桶/日，较前值1955.4万桶/日有所上升。,https://www.binance.com/zh-CN/square/post/302912168662658
44,美国车用汽油需求下降据金十数据报道，美国至3月13日当周EIA车用汽油总产量引伸需求数据为967.66万桶/日，较前值1012.04万桶/日有所下降。,https://www.binance.com/zh-CN/square/post/302912131518818
45,比特币回落至六周高点，全球市场风险情绪升温比特币从六周高点回落，因全球金融市场普遍出现风险规避情绪。Bloomberg 在 X（原 Twitter）发文表示，中东冲突升级的担忧加剧了市场的不安情绪。,https://www.binance.com/zh-CN/square/post/302911778266193
46,美国EIA新配方汽油库存增加据金十数据报道，美国截至3月13日当周的EIA新配方汽油库存增加了1.6万桶，而前一周的库存为减少0.5万桶。,https://www.binance.com/zh-CN/square/post/302911709048977
47,美国EIA精炼油产量下降据金十数据报道，美国至3月13日当周EIA精炼油产量减少7.5万桶/日，前值为13.2万桶/日。这一变化可能影响市场对美国能源供应的预期。,https://www.binance.com/zh-CN/square/post/302911681194466
48,美国EIA精炼厂设备利用率超预期据金十数据报道，美国至3月13日当周EIA精炼厂设备利用率达到91.4%，高于预期的91.2%和前值的90.8%。,https://www.binance.com/zh-CN/square/post/302911608696978
49,美国EIA战略石油储备库存保持不变据金十数据报道，美国至3月13日当周EIA战略石油储备库存为0万桶，前值为0.1万桶，显示库存保持不变。,https://www.binance.com/zh-CN/square/post/302911594598161
50,白宫新闻秘书：美军已击沉120多艘伊朗海军舰艇据金十数据报道，白宫新闻秘书莱维特表示，美军已经击沉了超过120艘伊朗海军舰艇。这一消息引发了广泛关注，显示出美伊之间的紧张局势进一步升级。,https://www.binance.com/zh-CN/square/post/302911395554018
51,意大利副总理：拟提议将欧盟柴油价格上限设定为每升1.90欧元意大利副总理表示，计划提议将欧盟柴油价格上限设定为每升1.90欧元。这一提议旨在应对能源价格波动，保护消费者利益。,https://www.binance.com/zh-CN/square/post/302910599912177
52,Circle高管建议英国结合欧盟和美国框架建立加密监管制度据 Cointelegraph 报道，Circle政策负责人Dante Disparte在英国上议院会议上表示，英国应结合欧盟MiCA和美国稳定币框架建立自己的加密监管制度。Disparte认为，缺乏监管框架会使稳定币活动转移至海外，影响伦敦的金融创新地位。英国金融行为监管局正在咨询更广泛的加密资产制度，预计2027年10月25日生效。Disparte提出四项原则，包括1比1储备支持和强透明度标准。Mastercard的McWaters认为稳定币缺乏明确价值主张，但赞扬其加速跨境交易的能力。,https://www.binance.com/zh-CN/square/post/302910238729841
53,地缘政治 | 伊朗情报部长遇害伊朗总统证实，伊朗情报部长哈提卜遇害。据 PANews 报道，此事件引发国际社会广泛关注，可能对地区局势产生影响。,https://www.binance.com/zh-CN/square/post/302910159503713
54,巴基斯坦暂停对阿富汗军事行动巴基斯坦宣布将暂时停止针对阿富汗的军事行动。据 PANews 报道，巴基斯坦将于3月19日至24日暂停对阿富汗的空袭。,https://www.binance.com/zh-CN/square/post/302910074989458
55,Benchmark 下调 Bakkt 股价目标至 22 美元，维持买入评级Benchmark 将 Bakkt 股价目标从 40 美元下调至 22 美元，并在周三维持买入评级。据 NS3 报道，BKKT 股价在早盘交易中下跌约 5%，至 9.15 美元。,https://www.binance.com/zh-CN/square/post/302910325626898
56,市场趋势 | 机构投资者看好加密货币未来走势一项针对351位机构投资者的调查显示，74%的受访者预计未来12个月加密货币价格将上涨。据 NS3 报道，调查还发现，73%的受访者计划在2026年前增加数字资产配置。,https://www.binance.com/zh-CN/square/post/302909732104562
57,鲸鱼在HyperLiquid存入501万美元USDC并开设CL空头头寸Onchain Lens在 X（原Twitter）表示，经过一年不活跃后，一名鲸鱼在过去两小时内向HyperLiquid存入了501万美元USDC，并以2倍杠杆开设了CL空头头寸。,https://www.binance.com/zh-CN/square/post/302908226879346
58,地缘政治 | 俄罗斯考虑为商船提供军事护航俄罗斯总统普京的助手表示，伊朗的冲突没有任何正当理由或客观原因。据 PANews 报道，中东冲突将使全球贸易和经济体系倒退多年。我们认为地中海上的俄罗斯液化天然气运输船遭袭是恐怖主义行为。俄罗斯可能考虑为商船提供军事护航。,https://www.binance.com/zh-CN/square/post/302907851417650
59,交易员快速平仓 HYPE 做多仓位，亏损 4.4 万美元据 Lookonchain 监测，交易员 0xf4b0 开头地址在不到 15 分钟内平仓其 HYPE 做多仓位，亏损约 4.4 万美元。据 Foresight News 报道，这一快速平仓行为引发市场关注。,https://www.binance.com/zh-CN/square/post/302907799610178
60,"加拿大加强反洗钱监管，撤销 23 家加密货币服务企业注册据 Decrypt 报道，加拿大金融情报机构金融交易和报告分析中心（FINTRAC）于周二对 23 家提供加密货币相关服务的货币服务企业（MSB）采取集中执法行动，一次性撤销其全部注册资格，标志着加拿大反洗钱监管力度的进一步升级。

据 Foresight News 报道，加拿大财政部长 François-Philippe Champagne 表示，此次行动为「大幅提速的执法节奏」，政府将持续保持这一势头。被撤销注册的企业中，有两家来自境外，分别为斯洛伐克的 Finast 和英国的 Commerce Plex。

根据 FINTRAC 官网，注册资格被撤销的原因包括未按时回应信息请求、不符合注册资格条件，以及未及时更新相关记录等合规违规行为。",https://www.binance.com/zh-CN/square/post/302907745269298
61,巴西交通部长：不遵守最低运价规定的企业或被禁止承接货运业务据金十数据报道，巴西交通部长表示，企业若不遵守最低运价规定，可能会被禁止承接货运业务。这一措施旨在确保市场的公平竞争和运输行业的稳定发展。,https://www.binance.com/zh-CN/square/post/302909255513377
62,"地址 0xf4b0 平仓 ASTER 后转仓 HYPE据 ChainCatcher 报道，据 Lookonchain 监测，地址 0xf4b0 在 Aster 主网上线后开立 ASTER 多仓，随后因 ASTER 价格下跌，该地址平仓离场，亏损约 18.3 万美元。

平仓后，该地址随即转仓做多 HYPE，买入 33,367 枚 HYPE。",https://www.binance.com/zh-CN/square/post/302905313387953
63,"交易员转向做多HYPE，持仓33,367枚据Odaily星球日报报道，Lookonchain监测显示，一名交易员在昨日Aster推出主网后做多ASTER，随后选择平仓亏损约183万美元。目前，该交易员转向做多HYPE，现持有33,367枚HYPE，价值140万美元。",https://www.binance.com/zh-CN/square/post/302905274042385
64,"CoinShares 与 Kiln 合作推出链上资产管理策略CoinShares 宣布与 Kiln 建立战略合作关系，推出首个链上资产管理策略。据 Foresight News 报道，该策略结合 DeFi 协议收益与标记化的真实世界资产收益，拓展至六个收益来源，包括 DeFi 借贷协议、机构担保贷款、标记化债券基金和债券 ETF 的收益，以及中性基差策略。

这项策略由 CoinShares 资产管理公司管理，符合 AIFMD、MiFID 和 MiCA 的相关金融法规，具备双重授权优势，既可在合规框架内投资于传统金融工具，也可在加密市场内操作。",https://www.binance.com/zh-CN/square/post/302905154476081
65,"特朗普家族关联矿企 ABTC 持仓新增 399 枚比特币3 月 18 日，特朗普家族关联的比特币矿企 American Bitcoin Corp （ABTC）持仓新增 399 枚比特币。据 BlockBeats 报道，目前 ABTC 的总持仓量达 6,899 枚比特币。",https://www.binance.com/zh-CN/square/post/302902639251777
66,"交易员因$ASTER亏损18.3万美元后转投$HYPELookonchain在 X（原Twitter）表示，交易员0xf4b0在Aster昨日上线主网后追高做多$ASTER。随着$ASTER下跌，他平仓并亏损18.3万美元，随后转而做多33,367枚$HYPE，价值140万美元。地址：0xf4b03f6bf1c7d529194410dc3d0775a1d7bff09b。",https://www.binance.com/zh-CN/square/post/302902435608162
67,Tether CEO：重要新产品即将上线Tether CEO Paolo Ardoino 发推称，Tether 产品团队正在筹备一项“重要新产品”。据 PANews 报道，该产品预计将在 30 天内上线。,https://www.binance.com/zh-CN/square/post/302900270525010
68,美国民主党参议员沃纳：情报界未回应中期选举外部威胁简报请求美国民主党参议员沃纳表示，美国情报界尚未回应关于中期选举面临的外部威胁作情况简报的请求。沃纳强调，确保选举安全是当前的优先事项，并呼吁情报界提供相关信息以帮助应对潜在的干扰。,https://www.binance.com/zh-CN/square/post/302908398411858
69,Meme 币鲸鱼开设杠杆多单，持仓1.83亿枚PENGU据Odaily星球日报报道，某鲸鱼在10小时前开设了3倍杠杆的PENGU多单。目前，该鲸鱼持有1.83亿枚PENGU，价值138万美元。,https://www.binance.com/zh-CN/square/post/302900146587233
